Source ID,If you could change anything about the sales or design centre process  what would it be?
TAM10171037,"1. Instructions on survey not to hit ""previous button"" here since you lose all your comments and have to do it over!!
2. The capability of your sales team other than Jackie! SO I gave low scores in the first survey section.
The general feel the sales resources give is one of being bothered by clients coming in to the model homes and at times were even eating and so you feel like you are intruding on them. Their typical answer to almost any question was ""I will have to get Jackie to answer that"". You almost lost us initially, but we knew you were good so we came back 2 or 3 times...and then that magical day we got to talk to Jackie...and we did the deal then and there! Jackie is your STAR and she represents TAMARACK as it should be and she knows all the details. Once we bought the house, we brought friends in to see the model since they are looking too...and the typical sales force was there and our friends felt such a negative attitude they left and think we are nuts to buy from TAMARCK with such disrespectful sales force....they did not get to meet Jackie...we may bring them back some other time.
My impression is that there is lots of time when hosting a model home to be studying the product, options, packages, etc... and they should know everything they can about what they are selling..... and maybe you should test them biweekly and give them prizes or gift cards for improving their skills...they do not seem motivated to learn more...and we have been talking to them for 8 months now...Last weekend I even had to tell them that the AC unit in the basement of the model home was creating a pool of water on the basement floor....there were no clients in the home at the time but they did not even check...
I know this will make your sales resources upset, but as a senior leader in INVISTA, I think you need to know the truth or you can not change things and I am a pretty credible resource for this, with no reason other than to try and help you succeed. I think you are an excellent builder. And I have been upfront and honest with Jackie, Carolyn, Mike, Steve and Pierre. I look forward to moving in to our new house!"
TAM0911105,"it will be good if we had more time in design center, we felt we run out of time. we had excellent time but people working there were very busy it seems their plate were full. thanks for asking yonas"
TAM0915112,"I would have appreciated having a better package of documents advising us of our upgrade choices in advance of our meeting with the design consultant.  A friend showed me their ""upgrade book"" from Mattamy which came with pictures and detailed explanations of each upgrade. It saves time at the design appointment and helps the customer to be better informed. I probably would have gone with more upgrades if I had a picture of what the ""standard"" looked like."
TAM0615109,"We wish it was made more clear that we had the option to choose a security system from concept rather than having to buy a security system from Alliance.  We do not regret going with Alliance for security, but the options were not clear until I spoke with the rep from Concept after already committing to a security system with Alliance.

Harding representative did not provide me the information I requested regarding the ERV upgrade.  My e-mail went unanswered.  We decided not to go ahead with the upgrade due to the lack of willingness to provide information by Harding.  It would have been good if the upgrades list contained a bit more details regarding upgrades like this such as the model of the ERV being offered and what was meant by ""Ultima Control"".

Tank less water heater rental through Cricket Energy requires signing a contract for 10 years without having much details regarding how to terminate the contract or what it would cost to buy the water heater outright from them after 1, 2, or 3 years of renting.  Direct Energy provided that information outright when we rented our current water heater.   We are awaiting a representative from Cricket energy to contact us to get some clarifications prior to signing any such long term contracts.

Aside from the above, we would change nothing else.  We were impressed particularly with the help we got from Kim Knuth.  She was very helpful to us during the design center process and both of us felt she took our taste and liking into consideration and helped us make the best selections for us.  As the current owners of a new build from another builder, we can't help but compare the design center experience which was night and day thanks to Kim."
TAM05191027,"Wish we had bought sooner so all the options would have been available. Otherwise, very satisfied so far."
TAM0310120,More time for the design centre process. I felt rushed.
TAM07181001,Everything would be less expensive!
TAM08171009,Introduce a design software that could let clients have a better idea of the design of their home
TAM1116119,"Subcontractor Concept Homes wasn't easy to deal with. We had simple questions regarding installation of central vac, potlights, and a conduit and they didn't get back to us for days for an appointment. They also have terrible hours of operation and don't give clients much choice. In the end we didn't end up getting anything with them because of their lack of service."
TAM0211115,"During the sales process, if there is an available options list (those options only available during the sales process) that would be great. Due to lacking of information, we missed a few options during the sales process and when we found out it was too late. For example front door upgrade, garage door upgrade etc. And also some information provided are not accurate. I was asking if I could upgrade the window of a bedroom. The answer I got is I cannot get a larger window, and the only option for me is to add an extra window. So I took the option. However, later I found the same model on my street (Lot 46) got the upgrade. And also, until yesterday, the extra window I purchased still not yet installed even the dry-wall has already been completed. Now I am very concerning about the impact on my home overall quality.

During the design process, the ceramic price tags were wrong. At the beginning we chosen Red class for everything. However when we start the pricing, those kinds of ceramic all need pricing and the the price we received are so much different than the Red Class price listed on the price list.  This issue had caused a big chaos during our design center phase. So an accurate price list would help buyer to well budget during the design centre phase, and I also can see this could improve Tamarack design centre productivity."
TAM0510125,"An efficient system of coordination & communication between the sales office and the design centre. The design centre is far too busy to accommodate the tight construction schedules placed on the home buyer, hence delaying the closing date (as in my case)."
TAM0512126,design centre:If they can get the prices quickly for upgrade iteams would be great.
TAM1012112,Since I bought the model home question no 2 I have no concern.  I was greeted with smiles that made me feel at home on the spot.  Congratulations.
TAM07181042,The Sales Representative - This lady she has no manners she does not say hi in emails she does not greet. She may need Greeting Training - I was called Kido a couple of times by her. I am young but its not professional. She needs to treat me with respect.
TAM0514112,"I would have liked the stairs to the deck on the opposite side.  I have a small child and would have liked the her not to run into stairs as soon as she stepped outside.  I didn't realize this until right before he plan reading.  I wish there had been more flexibility.  I was told it was too late and this had to be covered in structural meeting.
The stairs and deck has not been installed yet.  I was also told that it was easy to switch, so I could do it myself after closing.  I dont understand why this request couldnt have been accomodated."
TAM0214111,The whole process of choosing interiors of the house at the design centre seems not long enough to let you choose the best available choice. Only Christine seemed to know about all the upgrades and available choices.
TAM07181038,I would like to have some snack to share / normally the presentation is prolonged and need something to eat
TAM0716117,They need to improve their dealings with the site super and make it more accommodating for homeowners to view their homes.  Time slots  that makes sense to the homeowner (we work) - Tamarack is  not flexible at all 9am- 2pm slots    and that is it.
TAM1216114,Completely satisfied. Excellent selection and knowledge from staff
TAM0816103,A few times a different points there was less than a direct answer given to some questions that we asked and felt a little deceived or at least not fully informed and therefore taken by surprise for some costs.
TAM0912113,The Process was seemless and very well handled.  Although this was not our first time around building a home through a builder the process was very enjoyable with no surprises.  Tamarack has been very informative and a pleasure to do business with.
TAM0310102,n/a
TAM04191012,"allow the ""bonus"" money to come off the purchase price...the Tamarack standards are beautify enough!!"
TAM1211110,able to visit home more during construction
TAM08191006,That they have the right information and if they say something is to be in the home and promise to take care of the client then they should’ve.
TAM0613105,"As far as the design center is concerned, when I first went there to take a look on my own to prepare myself for my initial meeting, I felt overwhelmed and that things were disorganized.  The staff were amazing and really walked me through the entire process, when we had our final meeting we were happy with our choices and did not second guess our design decisions.  This was a seamless process with excellent customer service. Thank you"
TAM0212111,"More free offers, have a model house available so we can see, we brought the Bristol but had to drive to Kingston to see the model house."
TAM07181035,"i loved the customer service experience I had with Tamarack. The only thing I would of preferred is more of a simpler pricing list for the design center. the catalogue that is provided is long, confusing and we did not utilize it at all."
TAM1111105,"2 items:
Having the sales office open on Fridays (could be closed on Mondays). 

It would be great if the design centre made appointments in the evenings. We had to take time off from work."
TAM1211104,"We felt that some of the interactions with the sales representative at the Jackson Trails site were not completely genuine, therefore it was hard to feel comfortable at times.  Unfortunately, since there was only only one sales representative for the Jackson Trails site, there weren't any other options at the time of signing the purchase agreement. So far, the sales/signing of the agreement has been our least favourite part of our new home purchase."
TAM10191033,No comments
TAM07181017,"The design  prices are a bit high.  We bought 5 homes from diff builders and we did not want to pay 4,000 extra upgrade to put in A/C   Tamarack should at least finish the house to allow electrical copper lines to go in.  Putting an A/C costs 2,000."
TAM1014113,"Because I was the first to meet with the design center (of my development), the representative was not adequately prepared with the information regarding upgrades and standard options. This lead to confusion and poorly executed quotes for upgraded items."
TAM0111100,I wish my backsplash wasn't on back order. As I am not as happy with what I had to choose instead.
TAM12191016,nothing
TAM04182023,"- give more standard options
- i should be able to go to the sales centre and ask about the granite countertop in the main bath to the sales centre and should be able to find out what level of upgrade it is. should not have to bounce between sales centre and design centre
- also, sales centre of community i bought in is somewhat helpful after the purchase, but say you go to sales centre in another community (post purchase) just to look at the model homes - and you ask them question about the designs done therein, they are far far far from helpful. they just tell us to go and enquire in design centre"
TAM0311109,"The Muskoka kitchen modification pricing was a bit obscure and riddled with errors and double charges. Unfortunately many of our inquires directed to Muskoka were ignored to the point that we eventually gave up and had to move on.

Kim and Mandy from the design center were extremely knowledgeable and helpful, a pleasure to deal with. I can't praise Daryl enough for his help and attention to detail."
TAM0614222,"I think it would be so much more efficient and effective if all prices for upgrades were available through the design centre.  For example, the solid surfaces were not priced (by square foot) so no idea which ones were more/less expensive.  Same with the backsplash.   Full disclosure pricing would be helpful in the design process.

It would also be beneficial if there were pictures of full rooms/homes with some of the upgrades (especially flooring and cabinets).  It is hard to imagine an entire floor or full kitchen when looking at a small sample."
TAM02182003,"Thé cost of upgrade are  not explained, when questions asked to mme champagne very poor feedback, when problems with partners concept and Mondeau no help at all"
TAM0610122,Both centres were fine and the representives are kind and friendly.  i would not change a think.
TAM1013123,"It would be great if the design centre had preset design color packages put together. They have really good suggestions. 

The sales centre process is pretty good as is."
TAM1016121,More time to make design decisions.
TAM0811106,I found the process of researching kitchen sinks and faucets upgrades online on and then sending options to Tamarak for availability and pricing very frustrating. I do not live in the Kingston area so could not access the plumbing contract store locally. (The staff at the store who normally work with Tamarak clients were not available on the 2days that we were in the area purchasing our home.) It might have been easier to have been suppiled with a list of available sinks and faucets upgrades and then asked to choose from those.
TAM08171001,"Nothing, seems to work great to me!"
TAM08171021,None
TAM0615103,Informing the sales staff that ALL traffic headed to Laporte Nursery will be coming through the development.  This could easily be 1000 cars ao any spring Saturday.  Not at all hapy about that as I had to find it out from Nursery staff.  I was told this would not be a permanent  situation and it better not be as I do not want to be living on a commercial throughfare.  (That is why I purchased in a RESIDENTIAL development. ) It was almost enough for me to pull out of the deal and I am sure current buyers a d prospective ones are still not being informed of this situation.   That should have been disclosed from the beginning.  GET LAPORTES NURSERY BACK TO HAVING THEIR OWN DEDICATED ENTRANCE ASAP!!
TAM0610110,"The design center employees are extremely busy, they are rushed off their feet, I would expect they will all have nervous breakdowns!!!  This makes (through no fault of their own) a very unpleasant experience at the design centre.  It creates a very stressful atmosphere.  The appointment times are too short.  We found Kim very pleasant and helpful but she just didn't have a second to spare.  
We found dealing with Muskoka frustrating because of their incorrect knowledge of the building code and to tell you the truth  -  we've just got our fingers crossed, hoping we are going to get what we think we are getting."
TAM01181016,Had to go to work.
TAM0711137,"I am delighted with my Tamarack Home and the almost $60K in upgrades.  This clearly generates a very generous profit margin for Tamarack.  No regrets there.

Further, your records will confirm that my referral Blair Hurd has already purchased in Findlay Creek.  So as you can see I am a center of influence in my professional life and as such a valuable source of Tamarack business.  

But my referrals have come to an abrupt halt resulting which will result in a few less sales for Tamarack.  And I'd genuinely prefer to reverse that decision.

I am not happy.

There were two instances whereby I required clarification or decisions from Head Office at which point Tamarack fell into a deafening silence.  

I am a Senior Financial Planner at Investors Group and a former Partner at Doyle Salewski Inc..  I provide as well as expect a level of professionalism and I cannot accept being treated in this fashion.

So to Chris and Scott, your product is sound but my Tamarack experience remains unsatisfactory.  I have been left to feel it's Tamarack's way or 'the highway'.  

So is Tamarack responsive to its Pre-Closing Surveys?  

And in all cases to be clear, I am genuinely looking forward to taking possession of my Tamarack Home and for that I thank you.

Respectfully in your hands,

Gerald W. (Gerry)  Doyle
613.723.7200"
TAM07191007,More interest in the purchaser at the sales centre I went to them re concerns and did not receive any response. The design process went well again no response to emails sent.
TAM08171014,"I would recommend that Tamarack's design centre become more aware that not all buyers will be residents of Ottawa when they purchase their home. This only applies of course if Tamarack wants to sell homes to all potential buyers from across Canada and elsewhere. I initially got reticence about my design centre meetings as mine had to be held by phone and not in person. I don't even want to guess where I'd be if my sales person, Deborah, had not continually intervened to make things happen."
TAM07181037,To see the model homes.  It would be nice if Somebody answered the phone not a good option for reception it would be nice if they picked up and conveyed the message I found this inconvenient.  They contact me whenever.    The communication through email is good. The sales centre I bought from Meadows was very good.  I was referred to go to Orleans to see model and they were not welcoming at all at this other centre. When you fist walk in they ask are you buying from Orleans or Barhavaen Centre. Meadow and Orleans huge difference. Instead of Orleans entertaining my ideas and questions she more or less was busy enough to tell me she did not have enough time it was rushing and brief.
TAM0912104,Basic choices at the design centre (specifically cabinetry) could be upgraded slightly.  The basic choices are VERY limited.
TAM0211103,"Sales rep demeanor was not friendly.  It took time to get her to be responsive to our concerns -- tendency was to say 'No, it's not possible' before checking with management.  

customer service experience was not friendly - improvement is needed."
TAM1015114,nothing.
TAM1016132,nothing
TAM1109117,A little more time for the design process; more straightforward on closing date process i.e. realistic dates & better communication about reason for constant delays.
TAM1216100,"I would STRONGLY advise Tamarack to hire more personnel in the Design Office to accommodate clients schedules. I always felt pressured to hurry in selecting my upgrades and discuss my concerns and present my questions. Overall it was very stressful and I felt I was taking up time from the Design Consultant because she seemed overwhelmed and very tense and rushed at all times. She was very knowledgeable although Tamarack do not provide them with all the information and pricing for the upgrades. So the client is told on many occasions to wait a few days until certain prices comes in from who knows where!  I would ensure clients deal with ONLY one Design consultant who is trained in all aspects of the purchase of the upgrades, material and finishings of a home instead of having to contact and meet so many consultants and workers at the Design Center or by telephone and emails. It becomes overwhelming for clients who have personal and professional schedules to go through this complicated process. 

 I would provide more actual upgrade materials to view at the Design Center, ex: pedestal sinks, faucets, fireplace options... I would not show clients upgrades that are not available at the Cardinal Creek location ex: wood flooring that is in the Design Center but is off limit for those clients.  

 I would plan quiet space for discussions between the Design Consultant and her clients; the noise level becomes a real headache for the client and the consultant as well, when you are trying to concentrate especially at the final sign off meeting. The Design of the Center itself is very confusing and does not help the client orient herself in the chaos of the multiple choices scattered all over the Design Center. Clients walk/run from one area to another,  back and forth  at every visit. It is very chaotic in there and time consuming, very inefficient!

I would hire new Sales personnel at the Cardinal Creek Village location. I have experienced a major mistake from the SR at the Cardinal location where I had made a deposit on the Eton model; 1 month later I was informed the wrong model, a Foxcroft had been built instead!  I had to change models and or location!! Later I chose the Chelsea at an extra cost and Tamarack DID NOT compensate me for their major mistake! Tamarack never provided an excuse either. Nothing. I am still very annoyed by that lack of professionalism and cowardness, as well as improper customer service in regards to that mistake that cost me in the end. On top of that,  the dry wall on the  Chelsea  I purchased was installed without proper communication from the Sales representative so my decisions on electrical outlets and speakers were not considered. Thanks to Debbie, she managed to waive the additional expenses that I would have had to incur.  I very much appreciated her efforts in assisting me, after all I had been thorough. 

Thank you I hope my comments will make a difference  in the way Tamarack interacts with the clients who give them a lot of money. I still feel very angry by the way I was treated in the major error that was made in the mix up of the Eton model I had previously chosen which turned out to be a Foxcroft... That mistake should have been acknowledge by Tamarack and I SHOULD have been financially compensated for their major mistake. To this day I have not heard from them... 

Christiane Gamache"
TAM0712132,"Just one thing at the design centre: either add an extra visit to the 3 or get more accomplished at the first appt, ie: get flooring picked/priced and kitchen cupboards minimum.  We made 3 or 4 extra visits on our own and took many digital pictures so we could study at home.  Our final visit was basically our 2nd with our associate and things were not yet at a finalized state...an additional visit should be encorporated in the process.  Otherwise were very happy with the selections and the service."
TAM1213106,It's perfect
TAM07181023,design centre appointment was promised to be November and we did not have an appointment until January.  Keep your promises.
TAM0911103,Also initially became aware of Tamarack by newspaper.
TAM1109110,"One of the question was:
During the walk-through inspection of your home during construction...
So far, there was no such inspection (perhaps it will happen closer to the date the house will be finished)."
TAM0212106,I would not change anything at all. Service was perfect could not have asked for anything better.
TAM0511101,I would allow owners access to their homes in advance to the initial house inspection in order to prepare all of their questions.
TAM0915128,The software used by the design centre is way to disorganized. It should be structured so each upgrade it listed by room but it is instead listed by what ever pricing was first typed in.  We are extremely concerns this will perhaps cause missteps on the upgrades.  It took us hours to review what we ordered.  You need to purchase better software for your team as this part of the process made us feel like we were doing the job since we had to jump all over the numerous documents to review.
TAM0613125,"nothing they are very helpful. ,This is our second tamarack home and we are very satisfied."
TAM1011138,"To make sure that the options offered are available and compatible with the accessories ( eg. shower stall and optional doors are compatible). 
Make sure the material at the design centre is still available at the time of choice (eg. discontinued tiles).
Educate the client as to different possibilities in regards to improvements in options selected by other clients (eg. Kitchen cupboards, floor layouts)"
TAM10191050,Nothing
TAM10171016,Would like more email updates on next steps and timing - ie are we on track for current closing date?
TAM07191042,"1. There is a disconnect regarding product availability and upgrade selections. 
2. There are a number of standard fixtures including lighting, towel bars and toilet rolls and I’m sure others that are not mentioned in the design center and I suppose we’re stuck with those or doing the work to replace them ourselves (which isn’t our strength).
3. Even with the items where upgrades are offered, there are very little visuals of what the options might be available in the showroom, we were left to google photos of what we like and hope there was something cost effective that was similar. It felt very backward."
TAM0613103,It was difficult to think of something to change.  I suppose the only thing I can think of would be to have some activities or space for children that come with parents to the sales centre.
TAM1013125,You need better customer service at the design center.
TAM0614106,I would possibly suggest the design centre to have longer hours till 9pm during the week days to accommodate work schedule of those buyers better.
TAM1111112,that the Design centre would be closer to the site and you can do compare easily with model homes
TAM09181034,"The construction is different from the design map. I pointed that out, but I have not got any response. Frustrated!"
TAM04191010,The tile section in the deseign Center should have more categories of pricing. As well an easier way to look through them in the bins.
TAM07181027,1. The decision on hardwood stairs was needed almost immediately after signing and before I'd had time to choose hardwood and select my other upgrades (to determine if hardwood stairs would fit in my budget).
TAM0815116,No change
TAM08181025,Need an extra appointment at the design.  Design center personnel needs to come better acquainted with the tax being added to the options 13 - 19 percent:
TAM10191027,None that I can think of right now.
TAM0811103,"Difficult to remember the colours of all items chosen.
Would it be possible to have visual picture (thumbnail)?"
TAM0311107,We wish there were more time to decide on the upgrade options that were to be done the sale centre.
TAM07191032,"The design centre, the cabinet team.  they left out some of the basic things.  Like the microwave.  Like the sliding microwave.  I thought they would supply guidance.  They did give us some about the island but they didn't say anything about the crown molding or the microwave.  They could use some improvement."
TAM1114102,Show more color choices and give more help in choosing
TAM0311100,"Better choice of options at the design center, better supplier referrals.  (Was referred on supplier sheet to Boone plumbing, but they wouldn't deal with me as a Tamarack customer."
TAM08171010,The design centre process seemed a bit rushed.
TAM1113102,If I'm choosing not to install some fixtures or hardware I should be able to keep it since I'm paying for it.
TAM1014109,Interactive computer program allowing you to see changes done to the interior of the home.
TAM1011119,"1. Original sale: 

Val and staff are professional and knowledgeable as to what they are responsible for and for what they need additional approval for they are quick to obtain the information.

             Change: nothing

2. Subsequent modification to agreement (B/S to walk out/ rev to std elv): 

Debi and Gary where quick to respond to the issue and where more than understanding of the situation and made very attempt to accommodate and they worked hard to resolve an awkward situation into a positive resolution. Working with Val/Carroll as well helped greatly.

              Change: nothing. Debi stepped in when she needed 

3. Design centre: 

Kim was great to work with and fully understood what we where looking for in our second purchase from Tamarack . She work diligently in vetting and explaining any requests. 

The same cannot be said for our experience with Muskoka Kitchens. this process was a total debacle. After meeting with Ewa and explaining in detail with measurements and providing appliance specifications we later where told we had to RE-explain to another consultant Gayle. Working with Gayle was a total failure, after meeting with her to explain what we said to Ewa and re-providing the same appliance information a second time we received an odd e-mail requesting for us to reply where we wanted items that we did not request. We immediately call her to clarify and to review the plan as earlier explained. Gayle could not review our file as she had lost all the information and was working from erroneous information from a another client. We had to repeat all the information over the phone and re-send the appliance specs again. We requested and received confirmation of this via e-mail. We lost faith in Gayle getting it right and we requested Kim to ensure all was correct with regards to cabinetry. Kim, not wanting any mistakes compounded or delays to occur as a result of Gayle's lack of QC,  took full control and coordinated with us vs-a-vs Muskoka. Kim ensured all was as requested and corrected many omissions afterwards (there where many)


             Change: Have Kim/Tamarack staff directly work with customer with Muskoka present. Inital 3 way meeting (tam/client/musk) then subsequent meetings (if needed) directly with Muskoka with a final wrap up 3 way meeting. 

Other trades met with: 
Concepts -- okay and responsive
Emco -- did not carry enough samples to make any kind of decision. Rep was good.
Fireplace centre: waste of time in simply trying to make appointment,  no hours outside 8-4pm and limited availability during 8-4 making appointment next to impossible. We where committed to purchase a fireplace upgrade (Napoleon) but due to this issue we decided to upgrade after rather than chase down contact. 


Frame walk-through:

Daryle Meek is largely responsible as the reason why we purchased a second home from Tamarack. If he was not the site supervisor we would likely have looked elsewhere as his ability to close on time despite issues made the difference. That being said, I was disappointed in the quality of the build that I saw on the walkthough: walls not straight and a floor that was visibly not level at a distance and was a walking hazard, chainsaw cuts though the sub-floor on and sloppy all levels. In my opinion as a former framer I would dismiss the trade responsible outright as I seriously am concerned the finished product will have considerable visible drywall issues and floor level issues on closing that will result in lengthy PDI and resolution before closing.   

               Change: The walkthough did not contain and formal process of documentation and it should. Both with listing items and sign off by parties. 

I can be reached anytime for clarification on the above 613-315-9517.

Danny Gariepy"
TAM08191032,"For second appointment with design center, I found that 2.5 hours  is not enough if it is your first time to buy a new house ."
TAM11191025,I wouldn't change anything
TAM0811130,"Considering the Elderly community and the Commitment of Purchasing a new home ( to downscale), many had to sell their properties to be able to Purchase from Tamarack...  I would change the Delays in 'date of possession' for these homes as it adds a great inconvenience to the People who are without homes waiting for this 'date of possession'...
A company such as Tamarack should be better at planning these developments as not to inconvenience people in this manner. 
This greatly tarnishes the purchase experience with Tamarack."
TAM0913112,"The design Center held minimal samples for various items, ie carpet samples, paint samples, edging samples for stone countertop. We found that when we went to these places to preview our items, there were more options as standards, more importantly samples that better suited our tastes. At the point of viewing, it was also too late to change our order due to long administration and fear of a later closing date. It should be brought to the buyers attention that not all samples are available and if they don't see something then direct them to the suppliers themselves."
TAM0313115,"the design centre was not able to explain clearly the options available, introduction interview should be able to explain the next steps to be taken clearly.
last day of slection is to be for 1-2 hrs in time but rep only took 30 mins of her time to finish the last appointment,we felt pressured and the rep was in a hurry to finish the appointment as quickly as possible.
overall experince was ok but the last minute rush at the design centre is like a bad taste and hopefully goes better from here"
TAM1118107,"Everything was done by hand on paper, even scheduling the design center appointments. Had to take time off of work and reschedule dentist appointments because emails were very unresponsive, and the second option was even worse. I would expect a digital calendar where it would be automated, and to be presented with multiple date options at the start, instead of just sending one, and then waiting a week to get a response to change it.

The design center consultant also did things on paper, and took a long time to answer questions, to the point where the options we have selected changed pricing levels by the time she could get us a quote. If it were not on our due diligence to keep track of the options we have selected and the pricing when we selected them, we would have been overcharged due to the fact our consultant took three weeks to get us a quote. I am surprised it cannot all be put into a database, and have the price presented real time as the client is selecting their upgrades.

By contrast, our Muskoka Cabinets representative emailed us back almost immediately and had answers prepared.

At the design center it is also a shock to realize that they don't do everything. For the potlights, Central Vac, Lan/Cable outlets, a separate appointment was necessary with Concept, and there was no visibility between them and the design center. This caused a lot of stress and last minute fixing during the final hours before the deadline to fix things that Concept misplaced/misquoted.

We also booked the first appointment available with each, and it was still a time crunch in the end.

The customer care representative we were told about after signing the contract never once contacted us about the status/schedule of our build. We had to contact her the day after our frame check to voice our concerns officially, and to this day it is still the only form of contact we have.

Lastly, not one person was able to properly describe why I could not have a centered sink in my Cambridge Ensuite. The Meadows Cambridge model home has a centered sink. The sales center there said that it is an older model, but the blueprints he produced stated the sink cannot be centered. Is there revision control on the blueprints? Seems like they can be changed, replaced, and not be able to pull up the old ones. During the frame check they confirmed that it is definitely possible to center the sink. Seems to be a disconnect between the people actually building the homes, and the people selling. A disconnect which cost us about a grand to put in jack and jill sinks.

In summary, I would only recommend Tamarack Homes to other people if they did not care to upgrade anything. The sales center was nice, but the design center experience was the worst experience we have had, when comparing to other friends that have built new homes. One area I can say to improve upon is to computerize the design center experience. And I would have loved to have one appointment where I had both my design center representative and concept in the same room, so there is no question as to what was selected/what is possible."
TAM0413107,It would be great if the design centre could develop an app or something to show you what your home would like like with the options you choose.
TAM0315106,Design center must prepare the final pricing faster so that the customer can check the pricing and make changes as she/he needs.
